,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,Ratio
129,505720,HERCULES,Hercules Hoists Ltd,11 Jul 2012,Bonus issue 1:1,-,13 Jul 2012,17 Jul 2012,06 Jul 2012,12 Jul 2012,-,1:1
130,505714,GABRIEL,Gabriel India Ltd-$,12 Jul 2012,Bonus issue 1:1,13 Jul 2012,-,-,06 Jul 2012,12 Jul 2012,-,1:1
131,532926,JYOTHYLAB,Jyothy Labs Ltd,12 Jul 2012,Bonus issue 1:1,-,16 Jul 2012,16 Jul 2012,09 Jul 2012,13 Jul 2012,-,1:1
132,530117,PRIVISCL,Privi Speciality Chemicals Ltd,12 Jul 2012,Bonus issue 1:5,-,16 Jul 2012,16 Jul 2012,09 Jul 2012,13 Jul 2012,-,1:5
133,500547,BPCL,Bharat Petroleum Corporation Ltd,13 Jul 2012,Bonus issue 1:1,-,17 Jul 2012,17 Jul 2012,10 Jul 2012,16 Jul 2012,-,1:1
134,509024,GOLDLEG,Golden Legand Leasing & finance Ltd,17 Jul 2012,Bonus issue 1:1,18 Jul 2012,-,-,11 Jul 2012,17 Jul 2012,-,1:1
135,531847,ASTAR,Asian Star Company Ltd-$,19 Jul 2012,Bonus issue 1:2,21 Jul 2012,-,-,16 Jul 2012,19 Jul 2012,-,1:2
136,513517,STEELCAS,Steelcast Ltd,25 Jul 2012,Bonus issue 1:1,26 Jul 2012,-,-,19 Jul 2012,25 Jul 2012,-,1:1
137,522249,MAYURUNIQ,Mayur Uniquoters Ltd-$,06 Aug 2012,Bonus issue 1:1,07 Aug 2012,-,-,31 Jul 2012,06 Aug 2012,-,1:1
138,505075,SETCO,Setco Automotive Ltd,14 Aug 2012,Bonus issue 1:2,-,17 Aug 2012,18 Aug 2012,09 Aug 2012,16 Aug 2012,-,1:2
139,500870,CASTROLIND,Castrol India Ltd,04 Sep 2012,Bonus issue 1:1,05 Sep 2012,-,-,29 Aug 2012,04 Sep 2012,-,1:1
140,590065,IMPAL,India Motor Parts & Accessories Ltd,10 Sep 2012,Bonus issue 1:1,11 Sep 2012,-,-,04 Sep 2012,10 Sep 2012,-,1:1
141,524091,CARYSIL,Carysil Ltd,27 Sep 2012,Bonus issue 1:2,28 Sep 2012,-,-,21 Sep 2012,27 Sep 2012,-,1:2
142,524669,HESTERBIO,Hester Biosciences Ltd,27 Sep 2012,Bonus issue 1:2,-,29 Sep 2012,29 Sep 2012,24 Sep 2012,27 Sep 2012,-,1:2
143,517334,MOTHERSON,Samvardhana Motherson International Ltd,03 Oct 2012,Bonus issue 1:2,-,05 Oct 2012,05 Oct 2012,27 Sep 2012,04 Oct 2012,-,1:2
144,512443,GANONPRO,Ganon Products Ltd,15 Oct 2012,Bonus issue 30:1,16 Oct 2012,-,-,09 Oct 2012,15 Oct 2012,-,30:1
145,511636,DJSSS,DJS Stock & Shares Ltd,23 Oct 2012,Bonus issue 1:2,26 Oct 2012,-,-,18 Oct 2012,23 Oct 2012,-,1:2
146,534615,NECCLTD,North Eastern Carrying Corporation Ltd,15 Nov 2012,Bonus issue 3:1,16 Nov 2012,-,-,08 Nov 2012,15 Nov 2012,-,3:1
147,507609,OLYOI,Olympic Oil Industries Ltd,19 Nov 2012,Bonus issue 3:1,20 Nov 2012,-,-,09 Nov 2012,19 Nov 2012,-,3:1
148,531025,VISAGAR,Visagar Financial Services Ltd,04 Dec 2012,Bonus issue 1:1,05 Dec 2012,-,-,27 Nov 2012,04 Dec 2012,-,1:1
149,505533,WESTLIFE,Westlife Foodworld Ltd,07 Dec 2012,Bonus issue 1:1,-,11 Dec 2012,11 Dec 2012,04 Dec 2012,10 Dec 2012,-,1:1
150,524210,PNTKYOR,Pentokey Organy India Ltd,13 Dec 2012,Bonus issue 2:3,14 Dec 2012,-,-,07 Dec 2012,13 Dec 2012,-,2:3
151,590071,SUNDARMFIN,Sundaram Finance Ltd,13 Dec 2012,Bonus issue 1:1,14 Dec 2012,-,-,07 Dec 2012,13 Dec 2012,-,1:1
152,500463,BBOX,Black Box Ltd,19 Dec 2012,Bonus issue 1:1,20 Dec 2012,-,-,13 Dec 2012,19 Dec 2012,-,1:1
153,508922,MSRINDIA,MSR India Ltd,20 Dec 2012,Bonus issue 5:1,21 Dec 2012,-,-,14 Dec 2012,20 Dec 2012,-,5:1
154,532959,AJRINFRA,AJR Infra And Tolling Ltd,23 Jan 2013,Bonus issue 1:34,24 Jan 2013,-,-,17 Jan 2013,22 Jan 2013,-,1:34
155,506184,KANANIIND,Kanani Industries Ltd,01 Feb 2013,Bonus issue 1:10,-,05 Feb 2013,05 Feb 2013,29 Jan 2013,04 Feb 2013,-,1:10
156,512191,MISHKAFIN,Mishka Finance and Trading Ltd,05 Feb 2013,Bonus issue 7:1,06 Feb 2013,-,-,30 Jan 2013,05 Feb 2013,-,7:1
157,502448,ROLLT,Rollatainers Ltd,27 Feb 2013,Bonus issue 3:2,28 Feb 2013,-,-,21 Feb 2013,27 Feb 2013,-,3:2
158,532411,VISESHINFO,Visesh Infotecnics Ltd,07 Mar 2013,Bonus issue 1:10,08 Mar 2013,-,-,01 Mar 2013,07 Mar 2013,-,1:10
159,531387,HASTIFIN,Hasti Finance Ltd,13 Mar 2013,Bonus issue 1:10,14 Mar 2013,-,-,07 Mar 2013,13 Mar 2013,-,1:10
160,523144,MEDICAPQ,Medi Caps Ltd-$,19 Mar 2013,Bonus issue 3:1,20 Mar 2013,-,-,13 Mar 2013,19 Mar 2013,-,3:1
161,508494,WARRENTEA,Warren Tea Ltd-$,21 Mar 2013,Bonus issue 7:10,22 Mar 2013,-,-,15 Mar 2013,21 Mar 2013,-,7:10
162,507828,ANSALHSG,Ansal Housing Ltd-$,10 Apr 2013,Bonus issue 2:1,12 Apr 2013,-,-,05 Apr 2013,11 Apr 2013,-,2:1
