,Unnamed: 0,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,type,dividend
60,60,523385,NILKAMAL,Nilkamal Ltd,04 Feb 2010,Interim Dividend - Rs. - 2.0000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 2.0000
61,61,526371,NMDC,NMDC Ltd,04 Feb 2010,Interim Dividend - Rs. - 0.7500,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 0.7500
62,62,532461,PNB,Punjab National Bank,04 Feb 2010,Interim Dividend - Rs. - 10.0000,06 Feb 2010,-,-,01 Feb 2010,04 Feb 2010,-,Interim Dividend, 10.0000
63,63,523539,PRECWIRE,Precision Wires India Ltd,04 Feb 2010,Interim Dividend - Rs. - 2.4000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 2.4000
64,64,526951,STYLAMIND,Stylam Industries Ltd,04 Feb 2010,Interim Dividend - Rs. - 0.7500,06 Feb 2010,-,-,01 Feb 2010,04 Feb 2010,-,Interim Dividend, 0.7500
65,65,507880,VIPIND,VIP Industries Ltd-$,04 Feb 2010,Interim Dividend - Rs. - 2.0000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 2.0000
66,66,524804,AUROPHARMA,Aurobindo Pharma Ltd,05 Feb 2010,Interim Dividend - Rs. - 3.0000,08 Feb 2010,-,-,01 Feb 2010,06 Feb 2010,-,Interim Dividend, 3.0000
67,67,500173,GFLLIMITED,GFL Ltd,05 Feb 2010,Interim Dividend - Rs. - 1.0000,08 Feb 2010,-,-,01 Feb 2010,06 Feb 2010,-,Interim Dividend, 1.0000
68,68,524816,NATCOPHARM,Natco Pharma Ltd,05 Feb 2010,Interim Dividend - Rs. - 2.0000,08 Feb 2010,-,-,01 Feb 2010,06 Feb 2010,-,Interim Dividend, 2.0000
69,69,500112,SBIN,State Bank of India,05 Feb 2010,Interim Dividend - Rs. - 10.0000,-,09 Feb 2010,13 Feb 2010,02 Feb 2010,08 Feb 2010,-,Interim Dividend, 10.0000
70,70,526881,63MOONS,63 Moons Technologies Ltd,09 Feb 2010,Interim Dividend - Rs. - 2.0000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-,Interim Dividend, 2.0000
