Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500710,AKZOINDIA,Akzo Nobel India Ltd,06 Jun 2018,Buy Back of Shares ,07 Jun 2018,-,-,31 May 2018,06 Jun 2018,-
532705,JAGRAN,Jagran Prakashan Ltd,14 Jun 2018,Buy Back of Shares ,15 Jun 2018,-,-,08 Jun 2018,14 Jun 2018,-
533151,DBCORP,D. B. Corp Ltd,17 Jul 2018,Buy Back of Shares ,18 Jul 2018,-,-,11 Jul 2018,17 Jul 2018,-
532899,KSCL,Kaveri Seed Company Ltd,02 Aug 2018,Buy Back of Shares ,03 Aug 2018,-,-,27 Jul 2018,02 Aug 2018,-
533452,DELPHIFX,Delphi World Money Ltd,14 Aug 2018,Buy Back of Shares ,16 Aug 2018,-,-,08 Aug 2018,13 Aug 2018,-
532540,TCS,Tata Consultancy Services Ltd,14 Aug 2018,Buy Back of Shares ,18 Aug 2018,-,-,10 Aug 2018,14 Aug 2018,-
532281,HCLTECH,HCL Technologies Ltd,30 Aug 2018,Buy Back of Shares ,31 Aug 2018,-,-,24 Aug 2018,30 Aug 2018,-
508989,NAVNETEDUL,Navneet Education Ltd,30 Aug 2018,Buy Back of Shares ,31 Aug 2018,-,-,24 Aug 2018,30 Aug 2018,-
506943,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd,11 Sep 2018,Buy Back of Shares ,12 Sep 2018,-,-,05 Sep 2018,11 Sep 2018,-
532805,REDINGTON,Redington Ltd,27 Sep 2018,Buy Back of Shares ,28 Sep 2018,-,-,21 Sep 2018,27 Sep 2018,-
540680,KIOCL,KIOCL Ltd,28 Sep 2018,Buy Back of Shares ,01 Oct 2018,-,-,24 Sep 2018,28 Sep 2018,-
535648,JUSTDIAL,Just Dial Ltd,11 Oct 2018,Buy Back of Shares ,12 Oct 2018,-,-,05 Oct 2018,11 Oct 2018,-
500510,LT,Larsen & Toubro Ltd,12 Oct 2018,Buy Back of Shares ,15 Oct 2018,-,-,08 Oct 2018,12 Oct 2018,-
513683,NLCINDIA,NLC India Ltd,23 Oct 2018,Buy Back of Shares ,24 Oct 2018,-,-,16 Oct 2018,23 Oct 2018,-
526299,MPHASIS,Mphasis Ltd,24 Oct 2018,Buy Back of Shares ,25 Oct 2018,-,-,17 Oct 2018,24 Oct 2018,-
532234,NATIONALUM,National Aluminium Company Ltd,25 Oct 2018,Buy Back of Shares ,26 Oct 2018,-,-,19 Oct 2018,25 Oct 2018,-
540678,COCHINSHIP,Cochin Shipyard Ltd,30 Oct 2018,Buy Back of Shares ,31 Oct 2018,-,-,24 Oct 2018,30 Oct 2018,-
500103,BHEL,Bharat Heavy Electricals Ltd,05 Nov 2018,Buy Back of Shares ,06 Nov 2018,-,-,30 Oct 2018,02 Nov 2018,-
500239,KGDENIM,KG Denim Ltd,29 Nov 2018,Buy Back of Shares ,30 Nov 2018,-,-,22 Nov 2018,29 Nov 2018,-
533098,NHPC,NHPC Ltd,29 Nov 2018,Buy Back of Shares ,30 Nov 2018,-,-,22 Nov 2018,29 Nov 2018,-
533106,OIL,Oil India Ltd,30 Nov 2018,Buy Back of Shares ,03 Dec 2018,-,-,26 Nov 2018,30 Nov 2018,-
500530,BOSCHLTD,Bosch Ltd,20 Dec 2018,Buy Back of Shares ,21 Dec 2018,-,-,14 Dec 2018,20 Dec 2018,-
500472,SKFINDIA,SKF India Ltd,20 Dec 2018,Buy Back of Shares ,21 Dec 2018,-,-,14 Dec 2018,20 Dec 2018,-
530965,IOC,Indian Oil Corporation Ltd,21 Dec 2018,Buy Back of Shares ,25 Dec 2018,-,-,18 Dec 2018,21 Dec 2018,-
533655,TRITURBINE,Triveni Turbine Ltd,27 Dec 2018,Buy Back of Shares ,28 Dec 2018,-,-,20 Dec 2018,27 Dec 2018,-
507717,DHANUKA,Dhanuka Agritech Ltd,01 Jan 2019,Buy Back of Shares ,02 Jan 2019,-,-,26 Dec 2018,01 Jan 2019,-
542141,TECHNOE,Techno Electric & Engineering Company Ltd,02 Jan 2019,Buy Back of Shares ,03 Jan 2019,-,-,27 Dec 2018,02 Jan 2019,-
500312,ONGC,Oil and Natural Gas Corporation Ltd,03 Jan 2019,Buy Back of Shares ,04 Jan 2019,-,-,28 Dec 2018,03 Jan 2019,-
501301,TATAINVEST,Tata Investment Corporation Ltd,10 Jan 2019,Buy Back of Shares ,11 Jan 2019,-,-,04 Jan 2019,10 Jan 2019,-
532380,BABA,Baba Arts Ltd,14 Jan 2019,Buy Back of Shares ,15 Jan 2019,-,-,08 Jan 2019,14 Jan 2019,-
526371,NMDC,NMDC Ltd,17 Jan 2019,Buy Back of Shares ,18 Jan 2019,-,-,11 Jan 2019,17 Jan 2019,-
532735,RSYSTEMS,R Systems International Ltd,31 Jan 2019,Buy Back of Shares ,01 Feb 2019,-,-,25 Jan 2019,31 Jan 2019,-
509631,HEG,HEG Ltd,07 Feb 2019,Buy Back of Shares ,09 Feb 2019,-,-,04 Feb 2019,07 Feb 2019,-
522034,SHANTIGEAR,Shanthi Gears Ltd,07 Feb 2019,Buy Back of Shares ,08 Feb 2019,-,-,01 Feb 2019,07 Feb 2019,-
532331,AJANTPHARM,Ajanta Pharma Ltd,11 Feb 2019,Buy Back of Shares ,12 Feb 2019,-,-,05 Feb 2019,11 Feb 2019,-
533278,COALINDIA,Coal India Ltd,14 Feb 2019,Buy Back of Shares ,15 Feb 2019,-,-,08 Feb 2019,14 Feb 2019,-
540750,IEX,Indian Energy Exchange Ltd,14 Feb 2019,Buy Back of Shares ,15 Feb 2019,-,-,08 Feb 2019,14 Feb 2019,-
538836,MONTECARLO,Monte Carlo Fashions Ltd,21 Feb 2019,Buy Back of Shares ,22 Feb 2019,-,-,14 Feb 2019,21 Feb 2019,-
532755,TECHM,Tech Mahindra Ltd,05 Mar 2019,Buy Back of Shares ,06 Mar 2019,-,-,26 Feb 2019,05 Mar 2019,-
514087,PBMPOLY,PBM Polytex Ltd,07 Mar 2019,Buy Back of Shares ,08 Mar 2019,-,-,28 Feb 2019,07 Mar 2019,-
524348,AARTIDRUGS,Aarti Drugs Ltd,28 Mar 2019,Buy Back of Shares ,29 Mar 2019,-,-,22 Mar 2019,27 Mar 2019,-
526117,SHERVANI,Shervani Industrial Syndicate Ltd,28 Mar 2019,Buy Back of Shares ,29 Mar 2019,-,-,22 Mar 2019,27 Mar 2019,-
533121,EXPLEOSOL,Expleo Solutions Ltd,11 Apr 2019,Buy Back of Shares ,12 Apr 2019,-,-,05 Apr 2019,11 Apr 2019,-
500159,METROGLOBL,Metroglobal Ltd,11 Apr 2019,Buy Back of Shares ,12 Apr 2019,-,-,05 Apr 2019,11 Apr 2019,-
514266,ZENIFIB,Zenith Fibres Ltd,11 Apr 2019,Buy Back of Shares ,12 Apr 2019,-,-,05 Apr 2019,11 Apr 2019,-
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,16 Apr 2019,Buy Back of Shares ,18 Apr 2019,-,-,10 Apr 2019,16 Apr 2019,-
505285,TULIVE,Tulive Developers Ltd,18 Apr 2019,Buy Back of Shares ,22 Apr 2019,-,-,11 Apr 2019,18 Apr 2019,-
531199,GLANCE,Glance Finance Ltd,25 Apr 2019,Buy Back of Shares ,26 Apr 2019,-,-,18 Apr 2019,25 Apr 2019,-
539678,QUICKHEAL,Quick Heal Technologies Ltd,25 Apr 2019,Buy Back of Shares ,26 Apr 2019,-,-,18 Apr 2019,25 Apr 2019,-
532927,ECLERX,eClerx Services Ltd,09 May 2019,Buy Back of Shares ,10 May 2019,-,-,03 May 2019,09 May 2019,-
538564,JAMESWARREN,James Warren Tea Ltd,16 May 2019,Buy Back of Shares ,17 May 2019,-,-,10 May 2019,16 May 2019,-
531599,FDC,FDC Ltd,06 Jun 2019,Buy Back of Shares ,07 Jun 2019,-,-,30 May 2019,06 Jun 2019,-
532764,GEECEE,GeeCee Ventures Ltd,06 Jun 2019,Buy Back of Shares ,07 Jun 2019,-,-,30 May 2019,06 Jun 2019,-
524667,SOTL,Savita Oil Technologies Ltd,11 Jun 2019,Buy Back of Shares ,12 Jun 2019,-,-,04 Jun 2019,11 Jun 2019,-
532889,KPRMILL,K.P.R. Mill Limited,18 Jun 2019,Buy Back of Shares ,19 Jun 2019,-,-,12 Jun 2019,18 Jun 2019,-
532356,TRIVENI,Triveni Engineering & Industries Ltd,18 Jun 2019,Buy Back of Shares ,19 Jun 2019,-,-,12 Jun 2019,18 Jun 2019,-
539450,SHK,S H Kelkar and Company Ltd,19 Jun 2019,Buy Back of Shares ,20 Jun 2019,-,-,13 Jun 2019,19 Jun 2019,-
532921,ADANIPORTS,Adani Ports and Special Economic Zone Ltd,20 Jun 2019,Buy Back of Shares ,21 Jun 2019,-,-,14 Jun 2019,20 Jun 2019,-
507685,WIPRO,Wipro Ltd,20 Jun 2019,Buy Back of Shares ,21 Jun 2019,-,-,14 Jun 2019,20 Jun 2019,-
532663,SASKEN,Sasken Technologies Ltd,04 Jul 2019,Buy Back of Shares ,05 Jul 2019,-,-,28 Jun 2019,04 Jul 2019,-
531169,SKPSEC,SKP Securities Ltd,04 Jul 2019,Buy Back of Shares ,05 Jul 2019,-,-,28 Jun 2019,04 Jul 2019,-
540575,STARCEMENT,Star Cement Ltd,04 Jul 2019,Buy Back of Shares ,05 Jul 2019,-,-,28 Jun 2019,04 Jul 2019,-
532144,WELCORP,Welspun Corp Ltd,04 Jul 2019,Buy Back of Shares ,05 Jul 2019,-,-,28 Jun 2019,04 Jul 2019,-
501455,GREAVESCOT,Greaves Cotton Ltd,11 Jul 2019,Buy Back of Shares ,12 Jul 2019,-,-,05 Jul 2019,11 Jul 2019,-
540596,ERIS,Eris Lifesciences Ltd,12 Jul 2019,Buy Back of Shares ,15 Jul 2019,-,-,08 Jul 2019,12 Jul 2019,-
532419,SMARTLINK,Smartlink Holdings Ltd,09 Aug 2019,Buy Back of Shares ,13 Aug 2019,-,-,05 Aug 2019,09 Aug 2019,-
513108,GANDHITUBE,Gandhi Special Tubes Ltd,14 Aug 2019,Buy Back of Shares ,16 Aug 2019,-,-,07 Aug 2019,14 Aug 2019,-
505036,ACGL,Automobile Corporation of Goa Ltd,19 Sep 2019,Buy Back of Shares ,20 Sep 2019,-,-,13 Sep 2019,19 Sep 2019,-
530077,PURETROP,Puretrop Fruits  Ltd,10 Oct 2019,Buy Back of Shares ,11 Oct 2019,-,-,03 Oct 2019,10 Oct 2019,-
500304,NIITLTD,NIIT Ltd,17 Oct 2019,Buy Back of Shares ,18 Oct 2019,-,-,11 Oct 2019,17 Oct 2019,-
