Plus91_id,Trading Symbol,Security_id,Exchange,Segment,Exchange Token
e9f2012f811f4f02a4201e12f5218db8321597d41839a924c8e7ab854db813ee,JLHL,NSE_EQ:18553,NSE,EQ,18553
5029af19eafc8e0cf42b8bb6b2d05e7fb8c106e5926a2a03e541916e3f8812aa,PROV,NSE_EQ:16483,NSE,EQ,16483
39f64ee7cd7e407e4d8b72910d3c8096b3c0f51ef68c7e02b5736e7d71a4ae8b,NSLNISP,NSE_EQ:14180,NSE,EQ,14180
439b8d6e7ecabdb2d094edd370540f033c1fa378899a81687a7f952ac6e31a69,NIRMAN,NSE_EQ:14722,NSE,EQ,14722
354b868a337eedfde536153e92b5aab3f781180f766c1279b835fd535affc921,ESAFSFB,NSE_EQ:19878,NSE,EQ,19878
73249157024605b1e853f301b8e131580c4abcba10cbef8acc3c52523e0078b7,LOWVOL,NSE_EQ:14786,NSE,EQ,14786
98152e18226445018dbd73ba09343ed06660702a083c5b1252a93ab79bcf2fe9,SCILAL,NSE_EQ:23127,NSE,EQ,23127
aaf18c73a67cd7799e1d421f1c21676c0511c72984f078d69e19d8b6a849b5ff,SENSEXADD,NSE_EQ:17613,NSE,EQ,17613
5382a6e244cb5e9ccfb91cc6bda26ad9d8d08273dde3128068def516f073a018,DOLPHIN,NSE_EQ:18136,NSE,EQ,18136
23ccc6a043348b6b30d765269367fff8bd95abdb2d979c106aa26bac72e21595,SILVERETF,NSE_EQ:15085,NSE,EQ,15085
43313e69ab49416c434e83c5b0b565972d1879eb6aeff7f1952477bb419cff10,SBGLP,NSE_EQ:14141,NSE,EQ,14141
218db2a8b1dcf861353f8f29b3ce0ff5b98a599866b4afa4fc63d3d2d01b8279,DIVGIITTS,NSE_EQ:14479,NSE,EQ,14479
bafc525b6444f8767daa04d591ed7b45329f9da54534ea3055c84d109118924a,DENTALKART,NSE_EQ:16454,NSE,EQ,16454
0e667d408c11e1a771b5e686dfea0cd6cef4303315cd379df107730b5df68fac,SIGNPOST,NSE_EQ:22658,NSE,EQ,22658
8d87f1663045641686255839674e224fb969575b898caf111e0c5e0581c2b2ca,ATL,NSE_EQ:17778,NSE,EQ,17778
336d8dee0b3b3ea40b31271e932cff13d1f67fbf232a5bff369da148ba5293e4,PLATIND,NSE_EQ:22930,NSE,EQ,22930
9d99716cca3cb75a4bbd9b9ae0067420f4e1fedaff8446bb1d2e030e38bf0819,ATAM,NSE_EQ:15404,NSE,EQ,15404
3d250cb22424566568864d84b9e1014f5365f44c0aa7bab85b4fcf56067d26b3,RPTECH,NSE_EQ:22670,NSE,EQ,22670
ccda64a14f575819c55f9d618a88b9efca2c2c410040b14fa1cfe242425ef8fc,SINDHUTRAD,NSE_EQ:16859,NSE,EQ,16859
4e74be49ba3f9a68b5eb59395ba9c501fb237f71d75eee788acdeca6a6c61a69,JIOFIN,NSE_EQ:18143,NSE,EQ,18143
c176513f02a5e13106782068b253192688eee1beced5ea96ed967fb63c5fc8f7,SICALLOG,NSE_EQ:19440,NSE,EQ,19440
3ce0f4b35000074c9c2b1e2666c623960d61032d7f6917ae99d9c55e46883365,NINSYS,NSE_EQ:14194,NSE,EQ,14194
89b194f26e3835a3a20ce545cb9829ca0d4ec0e5e62e8ea682920b2841879c4c,DIAMINESQ,NSE_EQ:18644,NSE,EQ,18644
e6194cb1b462b78c72774968fe4b91a725f5f6cad45091f2c582f7ea95db7f99,HEALTHADD,NSE_EQ:22592,NSE,EQ,22592
e2611620428235626ae566906dd4e1d79d24f39425a52b9734585a1dc97d0a58,POCL,NSE_EQ:14385,NSE,EQ,14385
5303e404571180fc26b8d02d18a18b9e78c0961f151968c34ca6cd338c80e321,SKYGOLD,NSE_EQ:13634,NSE,EQ,13634
5a11bb53e53c40989fcc25a47ff09e76927100cb3804643a81908ff0ea658758,MUKKA,NSE_EQ:22980,NSE,EQ,22980
020beb786a6ed55ad8b13996abcd16a1a9b09197f8a513e84002c0b20e778cfd,AMNPLST,NSE_EQ:19867,NSE,EQ,19867
0ad3b60f74fdb79f0e67821b9184d02f74fff731e2a3d29852efc9bfcde9b0ef,HMAAGRO,NSE_EQ:17053,NSE,EQ,17053
bf0e606cb911467632bdc398bfba72caae3d90fffeebbeb3790f7f54baa5d9b0,AZAD,NSE_EQ:20905,NSE,EQ,20905
475819a29a7838e41e43661d7098045c18b50e252b057e8cf5749416c3c9b133,RHL,NSE_EQ:15162,NSE,EQ,15162
8c15935a30bfda32b9c7652e5a27c80175ced42646c2be38b2ef187be79df609,ESILVER,NSE_EQ:20257,NSE,EQ,20257
daf035d103d166552cbf907b30c18e2519641c1a4c89929f4820a6b6264db5b2,HONASA,NSE_EQ:19813,NSE,EQ,19813
befc69f76b5299aa680cefbbc23e5a362b49260907b3e4fc6357907747600148,HDFCPSUBK,NSE_EQ:22595,NSE,EQ,22595
1abf74d284a4d19924c3736611390c08fc700a387c3368e19ca42f3d0bb6b2f7,BANKBETF,NSE_EQ:21986,NSE,EQ,21986
87580e9ff3a73dda1891315f454aee56dd6c93353ef87b3c328bae74928cb9e3,PSUBANKADD,NSE_EQ:17616,NSE,EQ,17616
