,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15220,533158,THANGAMAYL,Thangamayil Jewellery Ltd,23 Mar 2020,Interim Dividend - Rs. - 5.0000,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15221,505978,TRITONV,Triton Valves Ltd,23 Mar 2020,Interim Dividend - Rs. - 15.0000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15222,506685,ULTRAMAR,Ultramarine & Pigments Ltd,23 Mar 2020,Interim Dividend - Rs. - 5.0000,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15223,522014,UNIDT,United Drilling Tools Ltd,23 Mar 2020,Interim Dividend - Rs. - 3.4000,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15224,531266,VSTTILLERS,VST Tillers Tractors Ltd,23 Mar 2020,Interim Dividend - Rs. - 15.0000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15225,532321,ZYDUSLIFE,Zydus Lifesciences Ltd,23 Mar 2020,Interim Dividend - Rs. - 3.5000,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15226,524288,AIMCOPEST,Aimco Pesticides Ltd,24 Mar 2020,Interim Dividend - Rs. - 1.5000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15227,540699,DIXON,Dixon Technologies (India) Ltd,24 Mar 2020,Interim Dividend - Rs. - 4.0000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15228,500171,GHCL,GHCL Ltd,24 Mar 2020,Interim Dividend - Rs. - 3.0000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15229,532240,INDNIPPON,India Nippon Electricals Ltd,24 Mar 2020,Interim Dividend - Rs. - 3.7500,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15230,500510,LT,Larsen & Toubro Ltd,24 Mar 2020,Interim Dividend - Rs. - 10.0000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15231,517206,LUMAXIND,Lumax Industries Ltd,24 Mar 2020,Interim Dividend - Rs. - 17.5000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15232,531209,NUCLEUS,Nucleus Software Exports Ltd,24 Mar 2020,Interim Dividend - Rs. - 9.0000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
15233,532934,PPAP,PPAP Automotive Ltd,24 Mar 2020,Interim Dividend - Rs. - 2.0000,26 Mar 2020,-,-,19 Mar 2020,25 Mar 2020,-
