Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532365,DSSL,Dynacons Systems & Solutions Ltd,03 Nov 2011,Consolidation of Shares ,04 Nov 2011,-,-,28 Oct 2011,03 Nov 2011,-
532993,SEJALLTD,Sejal Glass Ltd,09 Nov 2011,Consolidation of Shares ,11 Nov 2011,-,-,02 Nov 2011,09 Nov 2011,-
531673,ANKIN,Anka India Ltd,13 Jan 2012,Consolidation of Shares ,18 Jan 2012,-,-,13 Jan 2012,23 Jan 2012,-
500367,RUBFILA,Rubfila International Ltd,16 Jan 2012,Consolidation of Shares ,17 Jan 2012,-,-,10 Jan 2012,16 Jan 2012,-
531412,RADIXIND,Radix Industries (India) Ltd,03 Feb 2012,Consolidation of Shares ,17 Feb 2012,-,-,03 Feb 2012,22 Feb 2012,-
531273,RADHEDE,Radhe Developers India Ltd,14 Feb 2012,Consolidation of Shares ,16 Feb 2012,-,-,09 Feb 2012,15 Feb 2012,-
521141,ADITYASP,Aditya Spinners Ltd,02 Mar 2012,Consolidation of Shares ,05 Mar 2012,-,-,28 Feb 2012,03 Mar 2012,-
532641,NDL,Nandan Denim Ltd,07 Mar 2012,Consolidation of Shares ,09 Mar 2012,-,-,01 Mar 2012,07 Mar 2012,-
531515,MAHANIN,Mahan Industries Ltd,09 Mar 2012,Consolidation of Shares ,12 Mar 2012,-,-,02 Mar 2012,09 Mar 2012,-
531813,GANGAPA,Ganga Papers India Ltd,12 Mar 2012,Consolidation of Shares ,19 Mar 2012,-,-,12 Mar 2012,21 Mar 2012,-
503092,PASUSPG,Pasupati Spinning & Weaving Mills Ltd,15 Mar 2012,Consolidation of Shares ,16 Mar 2012,-,-,09 Mar 2012,15 Mar 2012,-
531223,ANJANI,Anjani Synthetics Ltd-$,28 Mar 2012,Consolidation of Shares ,29 Mar 2012,-,-,21 Mar 2012,28 Mar 2012,-
513579,FFPL,Foundry Fuel Products Ltd,14 Jun 2012,Consolidation of Shares ,15 Jun 2012,-,-,11 Jun 2012,14 Jun 2012,-
